enrollee_id,city_development_index,gender,relevent_experience,education_level,major_discipline,experience,last_new_job,training_hours,target
22134,0.92,Male,No relevent experience,Graduate,Humanities,3,1,35,0
31449,0.92,Female,Has relevent experience,Masters,STEM,2,1,4,0
5987,0.92,Male,Has relevent experience,Graduate,STEM,15,>4,12,0
21762,0.92,Male,Has relevent experience,Graduate,STEM,>20,2,108,0
22070,0.92,Male,No relevent experience,Graduate,STEM,>20,1,136,0
25413,0.92,Male,Has relevent experience,Graduate,STEM,5,1,27,0
28403,0.884,Male,Has relevent experience,Graduate,STEM,15,1,86,0
30937,0.866,Female,No relevent experience,Graduate,STEM,<1,2,83,0
29290,0.698,Male,No relevent experience,Masters,STEM,11,2,42,0
32401,0.92,Female,Has relevent experience,Graduate,STEM,6,1,332,0
12081,0.802,Male,Has relevent experience,Graduate,STEM,9,1,33,0
18257,0.92,Female,Has relevent experience,Graduate,STEM,11,>4,20,0
1180,0.91,Male,Has relevent experience,Graduate,STEM,12,1,52,0
28627,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,>20,2,160,0
25349,0.91,Male,Has relevent experience,Graduate,STEM,>20,>4,28,0
5220,0.754,Male,Has relevent experience,Graduate,Other,>20,4,46,0
4789,0.855,Male,Has relevent experience,Graduate,STEM,8,1,210,0
11338,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,10,1,36,0
8571,0.624,Male,Has relevent experience,Graduate,STEM,2,2,101,0
16303,0.9259999999999999,Male,Has relevent experience,Masters,STEM,6,1,46,0
20576,0.925,Male,Has relevent experience,Graduate,STEM,>20,>4,19,0
18819,0.8959999999999999,Male,Has relevent experience,Graduate,STEM,9,4,59,0
14199,0.92,Male,Has relevent experience,Graduate,Business Degree,10,1,260,0
7666,0.624,Female,Has relevent experience,Graduate,STEM,11,>4,74,0
10555,0.878,Male,Has relevent experience,Graduate,STEM,12,2,8,0
16040,0.92,Male,Has relevent experience,Graduate,STEM,6,1,131,0
32826,0.836,Male,Has relevent experience,Masters,STEM,7,1,45,0
13253,0.693,Male,Has relevent experience,Graduate,STEM,11,2,109,0
15637,0.855,Male,Has relevent experience,Graduate,Humanities,3,1,70,0
28074,0.92,Female,Has relevent experience,Graduate,STEM,>20,>4,17,0
23012,0.92,Female,No relevent experience,Masters,STEM,15,1,51,0
24530,0.9259999999999999,Male,No relevent experience,Graduate,STEM,12,>4,7,0
32776,0.6659999999999999,Male,Has relevent experience,Graduate,STEM,20,4,290,0
1265,0.92,Male,Has relevent experience,Graduate,STEM,10,1,76,0
13342,0.624,Female,Has relevent experience,Graduate,Other,8,2,34,0
20081,0.866,Male,No relevent experience,Graduate,STEM,>20,>4,156,0
24796,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,15,0
3396,0.855,Male,Has relevent experience,Graduate,STEM,6,never,102,0
31786,0.92,Male,No relevent experience,Phd,STEM,>20,>4,14,0
19882,0.91,Male,Has relevent experience,Graduate,STEM,15,>4,72,0
7280,0.92,Male,Has relevent experience,Graduate,STEM,13,1,6,0
16903,0.92,Male,Has relevent experience,Graduate,No Major,17,1,125,0
26241,0.92,Male,Has relevent experience,Graduate,Other,>20,2,33,0
32092,0.92,Female,Has relevent experience,Masters,STEM,15,>4,55,0
3766,0.698,Male,No relevent experience,Graduate,STEM,>20,>4,32,0
30496,0.92,Male,Has relevent experience,Graduate,Arts,>20,>4,11,0
7189,0.754,Male,Has relevent experience,Graduate,STEM,>20,1,41,0
31593,0.855,Male,Has relevent experience,Masters,STEM,10,4,114,0
11986,0.698,Male,Has relevent experience,Masters,STEM,5,1,15,0
3728,0.92,Male,Has relevent experience,Masters,STEM,>20,4,13,0
3024,0.9490000000000001,Male,Has relevent experience,Graduate,STEM,>20,1,246,0
23508,0.92,Male,Has relevent experience,Masters,STEM,9,1,22,0
29457,0.92,Male,Has relevent experience,Masters,STEM,>20,1,81,0
3065,0.92,Male,Has relevent experience,Graduate,STEM,>20,1,50,0
5493,0.9390000000000001,Male,Has relevent experience,Masters,STEM,>20,>4,31,0
32509,0.897,Male,Has relevent experience,Graduate,STEM,4,1,42,0
907,0.92,Female,Has relevent experience,Graduate,STEM,>20,>4,72,0
10956,0.698,Male,Has relevent experience,Graduate,STEM,15,1,152,0
26099,0.92,Male,Has relevent experience,Graduate,STEM,12,1,60,0
26163,0.624,Male,No relevent experience,Masters,STEM,2,never,8,0
706,0.91,Male,Has relevent experience,Masters,STEM,4,never,38,0
9890,0.92,Male,Has relevent experience,Graduate,Humanities,14,2,178,0
32683,0.92,Male,Has relevent experience,Graduate,STEM,15,1,11,0
7731,0.802,Male,Has relevent experience,Graduate,STEM,13,never,84,0
31943,0.884,Male,Has relevent experience,Graduate,STEM,>20,2,32,0
33339,0.624,Male,No relevent experience,Graduate,STEM,2,1,39,0
32095,0.92,Male,Has relevent experience,Masters,Humanities,2,1,104,0
30098,0.92,Male,Has relevent experience,Masters,Other,>20,>4,8,0
23825,0.624,Male,No relevent experience,Graduate,STEM,2,never,102,0
30695,0.624,Male,No relevent experience,Graduate,STEM,3,never,42,0
24936,0.624,Male,Has relevent experience,Masters,STEM,3,1,88,0
31602,0.92,Male,Has relevent experience,Masters,STEM,>20,1,7,0
16814,0.91,Male,Has relevent experience,Graduate,STEM,>20,>4,62,0
19249,0.92,Male,Has relevent experience,Graduate,STEM,6,1,83,0
9475,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,9,>4,11,0
4865,0.9259999999999999,Male,No relevent experience,Phd,STEM,>20,>4,10,0
20881,0.9390000000000001,Male,Has relevent experience,Masters,STEM,10,1,114,0
8528,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,108,0
27667,0.92,Male,No relevent experience,Graduate,STEM,5,never,77,0
2821,0.9259999999999999,Male,Has relevent experience,Masters,STEM,15,2,8,0
25495,0.727,Female,Has relevent experience,Graduate,STEM,9,>4,37,0
28015,0.92,Male,Has relevent experience,Graduate,STEM,13,2,162,0
13891,0.884,Female,No relevent experience,Phd,STEM,3,1,41,0
399,0.92,Male,Has relevent experience,Graduate,STEM,>20,1,190,0
8751,0.92,Male,Has relevent experience,Graduate,STEM,6,1,11,0
25380,0.92,Male,Has relevent experience,Masters,STEM,13,>4,39,0
12509,0.9259999999999999,Male,No relevent experience,Graduate,STEM,>20,>4,5,0
13083,0.9259999999999999,Male,Has relevent experience,Masters,STEM,10,>4,29,0
15922,0.92,Male,Has relevent experience,Graduate,STEM,9,3,44,0
6685,0.91,Male,Has relevent experience,Graduate,STEM,15,>4,47,0
28838,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,74,0
1020,0.92,Male,Has relevent experience,Graduate,STEM,3,1,162,0
13135,0.836,Male,Has relevent experience,Masters,STEM,14,1,6,0
16537,0.897,Male,Has relevent experience,Masters,STEM,15,>4,134,0
17358,0.9259999999999999,Male,Has relevent experience,Masters,STEM,11,1,40,0
21933,0.884,Male,Has relevent experience,Graduate,STEM,12,1,11,0
7342,0.92,Male,Has relevent experience,Graduate,STEM,11,3,102,0
5630,0.624,Male,No relevent experience,Graduate,STEM,2,never,100,0
24152,0.9229999999999999,Male,No relevent experience,Masters,STEM,3,never,30,0
13150,0.91,Male,Has relevent experience,Phd,STEM,>20,2,27,0
22689,0.9490000000000001,Male,Has relevent experience,Graduate,STEM,4,4,42,0
27064,0.92,Male,Has relevent experience,Graduate,STEM,5,2,94,0
9571,0.878,Male,No relevent experience,Graduate,STEM,10,1,25,0
30854,0.516,Male,Has relevent experience,Graduate,STEM,9,1,11,0
17519,0.727,Male,Has relevent experience,Graduate,STEM,10,2,113,0
31692,0.92,Male,Has relevent experience,Graduate,STEM,>20,1,40,0
6052,0.92,Male,Has relevent experience,Masters,STEM,>20,>4,56,0
12934,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,19,2,64,0
30400,0.754,Male,Has relevent experience,Graduate,STEM,5,1,51,0
12117,0.579,Male,Has relevent experience,Graduate,STEM,4,1,320,0
32534,0.804,Male,Has relevent experience,Graduate,STEM,9,1,74,0
4876,0.855,Female,Has relevent experience,Masters,STEM,10,1,42,0
2793,0.9229999999999999,Male,Has relevent experience,Graduate,STEM,>20,>4,166,0
5593,0.92,Male,Has relevent experience,Graduate,STEM,>20,1,37,0
30484,0.9259999999999999,Male,Has relevent experience,Masters,STEM,>20,>4,31,0
14688,0.743,Male,No relevent experience,Masters,STEM,11,>4,97,0
20322,0.804,Male,Has relevent experience,Phd,STEM,>20,>4,206,0
22194,0.92,Female,Has relevent experience,Graduate,STEM,2,1,204,0
31401,0.92,Male,Has relevent experience,Masters,STEM,18,2,116,0
6790,0.698,Male,Has relevent experience,Masters,STEM,15,1,100,0
10102,0.92,Male,Has relevent experience,Graduate,STEM,20,never,107,0
10338,0.769,Male,Has relevent experience,Masters,STEM,11,1,17,0
15701,0.91,Male,Has relevent experience,Graduate,STEM,10,1,140,0
21218,0.9390000000000001,Male,Has relevent experience,Graduate,Humanities,3,2,75,0
17460,0.91,Female,Has relevent experience,Graduate,STEM,7,1,22,0
9384,0.9129999999999999,Male,Has relevent experience,Masters,STEM,>20,>4,143,0
4269,0.855,Female,Has relevent experience,Graduate,STEM,14,2,72,0
28033,0.897,Male,No relevent experience,Graduate,STEM,3,1,182,0
1568,0.915,Male,Has relevent experience,Graduate,STEM,15,4,50,0
26233,0.91,Male,Has relevent experience,Graduate,STEM,2,1,58,0
22787,0.897,Male,Has relevent experience,Graduate,STEM,>20,1,36,0
27435,0.893,Male,Has relevent experience,Graduate,STEM,15,4,198,0
2855,0.91,Male,No relevent experience,Masters,STEM,5,never,31,0
27866,0.92,Male,Has relevent experience,Graduate,STEM,>20,1,31,0
24807,0.92,Male,Has relevent experience,Graduate,STEM,6,1,55,0
760,0.899,Male,Has relevent experience,Graduate,Humanities,16,2,8,0
28229,0.7759999999999999,Male,Has relevent experience,Graduate,STEM,18,>4,51,0
4162,0.804,Male,Has relevent experience,Graduate,STEM,9,2,22,0
2194,0.899,Male,Has relevent experience,Graduate,STEM,5,1,19,0
17432,0.91,Female,Has relevent experience,Graduate,STEM,13,>4,15,0
1988,0.893,Male,Has relevent experience,Graduate,STEM,>20,>4,38,0
8540,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,52,0
15468,0.9259999999999999,Male,Has relevent experience,Masters,STEM,15,2,65,0
1297,0.92,Male,Has relevent experience,Graduate,STEM,7,4,86,0
22517,0.9259999999999999,Male,No relevent experience,Graduate,STEM,3,1,86,0
30676,0.91,Male,Has relevent experience,Masters,STEM,>20,>4,53,0
18376,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,17,1,60,0
10970,0.91,Male,Has relevent experience,Masters,STEM,18,>4,178,0
29961,0.9390000000000001,Male,Has relevent experience,Phd,STEM,>20,2,166,0
20369,0.624,Male,Has relevent experience,Graduate,STEM,7,1,35,0
11751,0.836,Male,No relevent experience,Graduate,STEM,6,never,58,0
28590,0.91,Male,Has relevent experience,Masters,STEM,6,1,72,0
10370,0.9390000000000001,Male,Has relevent experience,Masters,STEM,16,2,166,0
5340,0.92,Male,Has relevent experience,Graduate,Business Degree,>20,never,109,0
9217,0.884,Male,Has relevent experience,Graduate,STEM,1,1,37,0
5673,0.89,Male,No relevent experience,Graduate,STEM,9,3,51,0
25421,0.92,Male,Has relevent experience,Graduate,STEM,16,1,84,0
20698,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,>20,1,72,0
23636,0.855,Male,No relevent experience,Graduate,STEM,12,4,47,0
9515,0.92,Male,No relevent experience,Graduate,Other,2,1,64,0
25766,0.884,Male,No relevent experience,Masters,STEM,14,3,96,0
16178,0.762,Male,Has relevent experience,Graduate,STEM,>20,1,48,0
10529,0.92,Male,Has relevent experience,Graduate,Arts,>20,1,102,0
32324,0.92,Male,No relevent experience,Graduate,STEM,>20,>4,32,0
17083,0.92,Female,Has relevent experience,Graduate,STEM,4,1,7,0
16414,0.91,Male,Has relevent experience,Graduate,STEM,16,1,53,0
32340,0.855,Male,Has relevent experience,Graduate,STEM,10,1,161,0
18462,0.897,Male,No relevent experience,Masters,STEM,8,1,11,0
29217,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,>20,>4,67,0
18454,0.527,Female,No relevent experience,Graduate,STEM,1,1,50,0
22508,0.884,Female,No relevent experience,Graduate,STEM,5,1,16,0
25969,0.91,Male,Has relevent experience,Graduate,STEM,>20,>4,38,0
28080,0.92,Other,Has relevent experience,Graduate,Arts,5,1,98,0
30925,0.92,Male,No relevent experience,Graduate,STEM,2,1,88,0
21989,0.91,Male,Has relevent experience,Graduate,STEM,19,4,24,0
10984,0.92,Male,Has relevent experience,Masters,Humanities,2,1,28,0
26543,0.878,Male,Has relevent experience,Graduate,STEM,10,1,166,0
15343,0.762,Male,Has relevent experience,Graduate,STEM,>20,3,24,0
30191,0.903,Male,Has relevent experience,Graduate,STEM,9,1,133,0
13537,0.855,Male,Has relevent experience,Graduate,STEM,14,>4,143,0
23185,0.878,Male,Has relevent experience,Graduate,STEM,>20,>4,29,0
25963,0.624,Male,Has relevent experience,Graduate,STEM,4,1,7,0
5141,0.762,Male,Has relevent experience,Graduate,STEM,8,>4,87,0
657,0.92,Male,Has relevent experience,Graduate,STEM,8,1,18,0
18759,0.624,Male,Has relevent experience,Graduate,STEM,6,1,114,0
5731,0.91,Male,Has relevent experience,Graduate,STEM,7,>4,30,0
20135,0.9229999999999999,Male,Has relevent experience,Graduate,STEM,>20,>4,80,0
18620,0.7759999999999999,Male,Has relevent experience,Graduate,STEM,14,never,52,0
24226,0.624,Female,Has relevent experience,Graduate,STEM,<1,1,13,0
11966,0.836,Male,Has relevent experience,Masters,Humanities,2,1,36,0
10017,0.9259999999999999,Male,Has relevent experience,Masters,STEM,>20,>4,67,0
361,0.92,Male,Has relevent experience,Graduate,STEM,9,1,100,0
20797,0.91,Male,Has relevent experience,Phd,STEM,15,1,58,0
17783,0.802,Male,Has relevent experience,Graduate,STEM,<1,2,11,0
6283,0.92,Male,Has relevent experience,Graduate,Other,10,>4,206,0
28468,0.9390000000000001,Male,Has relevent experience,Masters,STEM,>20,>4,88,0
4978,0.9259999999999999,Male,Has relevent experience,Masters,STEM,14,2,16,0
28641,0.924,Male,Has relevent experience,Graduate,STEM,>20,>4,95,0
28915,0.624,Male,No relevent experience,Graduate,STEM,6,1,53,0
3999,0.795,Male,Has relevent experience,Masters,STEM,>20,>4,94,0
9860,0.92,Male,Has relevent experience,Graduate,No Major,17,3,20,0
26616,0.92,Male,Has relevent experience,Graduate,STEM,>20,2,60,0
1396,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,>20,3,2,0
22954,0.794,Female,Has relevent experience,Graduate,STEM,9,>4,206,0
1563,0.682,Male,Has relevent experience,Graduate,STEM,12,3,25,0
23856,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,9,2,22,0
30441,0.92,Male,Has relevent experience,Graduate,Humanities,19,>4,90,0
11545,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,7,1,120,0
19555,0.802,Male,Has relevent experience,Graduate,STEM,8,2,314,0
17400,0.91,Male,No relevent experience,Graduate,STEM,2,never,10,0
13288,0.624,Male,Has relevent experience,Graduate,STEM,3,1,26,0
23430,0.7959999999999999,Male,Has relevent experience,Graduate,STEM,11,>4,25,0
8930,0.92,Male,Has relevent experience,Graduate,STEM,9,>4,30,0
3920,0.698,Male,Has relevent experience,Graduate,STEM,18,4,39,0
22420,0.855,Male,Has relevent experience,Graduate,Humanities,9,2,226,0
28415,0.92,Male,Has relevent experience,Graduate,STEM,14,1,60,0
32260,0.579,Male,Has relevent experience,Graduate,STEM,2,1,9,0
21603,0.624,Male,Has relevent experience,Graduate,STEM,7,1,50,0
17665,0.91,Male,Has relevent experience,Graduate,STEM,3,2,91,0
18905,0.92,Male,Has relevent experience,Graduate,STEM,5,2,14,0
824,0.91,Male,Has relevent experience,Graduate,STEM,10,1,74,0
14217,0.9259999999999999,Male,Has relevent experience,Masters,STEM,14,1,52,0
33242,0.754,Male,No relevent experience,Graduate,STEM,8,1,50,0
24224,0.698,Male,Has relevent experience,Graduate,STEM,7,never,100,0
9684,0.895,Male,Has relevent experience,Masters,STEM,17,1,42,0
8584,0.91,Male,Has relevent experience,Phd,STEM,>20,4,11,0
27003,0.91,Male,Has relevent experience,Masters,STEM,10,2,74,0
29723,0.89,Male,Has relevent experience,Graduate,STEM,9,>4,90,0
33181,0.855,Male,No relevent experience,Masters,STEM,>20,2,234,0
3004,0.924,Male,Has relevent experience,Masters,Humanities,7,1,163,0
5828,0.91,Male,Has relevent experience,Graduate,STEM,10,4,9,0
22211,0.855,Male,No relevent experience,Graduate,Other,5,never,36,0
28193,0.8270000000000001,Male,Has relevent experience,Graduate,STEM,5,1,6,0
26291,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,11,>4,72,0
11739,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,18,3,84,0
20878,0.698,Male,Has relevent experience,Graduate,STEM,14,>4,24,0
31013,0.92,Male,Has relevent experience,Graduate,Humanities,17,2,8,0
7145,0.865,Male,Has relevent experience,Masters,STEM,>20,>4,8,0
2690,0.92,Male,No relevent experience,Graduate,STEM,>20,1,55,0
5911,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,151,0
24069,0.624,Male,Has relevent experience,Graduate,STEM,11,1,4,0
20803,0.743,Male,Has relevent experience,Masters,Other,2,2,102,0
3752,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,7,3,29,0
32925,0.91,Male,Has relevent experience,Masters,STEM,>20,2,78,0
2629,0.738,Male,Has relevent experience,Graduate,STEM,5,1,13,0
20143,0.866,Male,Has relevent experience,Masters,STEM,12,1,30,0
25957,0.701,Male,No relevent experience,Graduate,STEM,2,1,108,0
32355,0.884,Male,Has relevent experience,Graduate,STEM,12,1,98,0
12140,0.91,Female,Has relevent experience,Masters,Humanities,5,1,57,0
3827,0.92,Male,Has relevent experience,Masters,STEM,>20,>4,9,0
10386,0.92,Male,Has relevent experience,Graduate,STEM,>20,3,53,0
13597,0.893,Male,Has relevent experience,Masters,STEM,12,1,107,0
29508,0.9259999999999999,Male,Has relevent experience,Masters,STEM,>20,1,24,0
428,0.92,Male,Has relevent experience,Graduate,STEM,12,>4,80,0
21843,0.754,Male,Has relevent experience,Graduate,STEM,>20,2,96,0
15259,0.92,Male,Has relevent experience,Graduate,STEM,15,>4,46,0
14487,0.624,Male,Has relevent experience,Graduate,Other,5,1,20,0
8055,0.9129999999999999,Male,Has relevent experience,Graduate,STEM,8,4,46,0
20653,0.91,Male,No relevent experience,Graduate,STEM,<1,1,44,0
1131,0.92,Male,Has relevent experience,Graduate,STEM,11,>4,34,0
22219,0.92,Male,Has relevent experience,Graduate,STEM,11,3,17,0
10454,0.92,Female,No relevent experience,Graduate,Humanities,3,3,40,0
22052,0.762,Male,Has relevent experience,Masters,STEM,8,1,45,0
29432,0.925,Male,Has relevent experience,Graduate,STEM,8,2,85,0
6812,0.6659999999999999,Male,Has relevent experience,Graduate,STEM,6,1,110,0
14890,0.802,Male,Has relevent experience,Masters,Business Degree,11,2,35,0
9569,0.762,Male,Has relevent experience,Graduate,STEM,12,3,6,0
6389,0.92,Male,Has relevent experience,Masters,Humanities,15,4,11,0
9463,0.767,Male,Has relevent experience,Graduate,Humanities,>20,2,28,0
30514,0.794,Male,Has relevent experience,Graduate,STEM,7,1,50,0
12349,0.682,Male,No relevent experience,Graduate,STEM,6,1,204,0
13311,0.92,Male,Has relevent experience,Graduate,STEM,6,2,26,0
30814,0.762,Male,No relevent experience,Graduate,Other,2,never,26,0
20823,0.9259999999999999,Male,Has relevent experience,Masters,STEM,16,>4,37,0
16177,0.9259999999999999,Male,No relevent experience,Graduate,STEM,10,never,67,0
5417,0.895,Male,Has relevent experience,Graduate,STEM,12,>4,14,0
24280,0.624,Male,No relevent experience,Graduate,STEM,4,1,218,0
11003,0.92,Male,Has relevent experience,Masters,STEM,8,1,38,0
6326,0.915,Male,Has relevent experience,Graduate,STEM,8,2,26,0
18170,0.91,Male,Has relevent experience,Graduate,STEM,9,1,50,0
11821,0.762,Male,Has relevent experience,Graduate,STEM,9,1,100,0
4475,0.698,Male,Has relevent experience,Masters,STEM,>20,1,28,0
4072,0.91,Male,Has relevent experience,Graduate,Humanities,>20,1,20,0
11085,0.878,Male,No relevent experience,Graduate,No Major,14,3,45,0
3878,0.92,Male,Has relevent experience,Masters,STEM,6,3,55,0
33104,0.91,Male,Has relevent experience,Graduate,STEM,5,3,28,0
17304,0.9390000000000001,Male,Has relevent experience,Masters,STEM,6,1,96,0
22348,0.682,Male,No relevent experience,Graduate,STEM,9,1,42,0
11655,0.9390000000000001,Male,Has relevent experience,Masters,STEM,10,1,66,0
26713,0.92,Male,Has relevent experience,Graduate,STEM,4,2,8,0
27697,0.92,Male,Has relevent experience,Masters,STEM,7,4,8,0
30509,0.92,Male,Has relevent experience,Graduate,Other,8,1,128,0
32619,0.92,Female,Has relevent experience,Graduate,Humanities,4,1,90,0
10554,0.91,Male,Has relevent experience,Graduate,STEM,7,4,22,0
8311,0.9259999999999999,Male,Has relevent experience,Masters,STEM,12,1,82,0
6010,0.92,Male,Has relevent experience,Graduate,STEM,8,2,44,0
31210,0.92,Male,Has relevent experience,Graduate,STEM,7,1,107,0
23714,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,>20,>4,114,0
21967,0.9259999999999999,Male,Has relevent experience,Masters,STEM,>20,>4,56,0
29737,0.897,Male,Has relevent experience,Graduate,STEM,7,>4,15,0
9846,0.92,Male,No relevent experience,Graduate,STEM,6,1,54,0
15430,0.6659999999999999,Male,Has relevent experience,Graduate,Business Degree,>20,1,29,0
6724,0.91,Male,No relevent experience,Graduate,STEM,8,4,23,0
18,0.899,Male,No relevent experience,Graduate,STEM,>20,>4,24,0
26402,0.884,Male,Has relevent experience,Graduate,STEM,13,2,101,0
26214,0.878,Male,No relevent experience,Masters,Humanities,9,2,56,0
21033,0.92,Male,Has relevent experience,Masters,STEM,10,1,21,0
19073,0.92,Male,Has relevent experience,Graduate,STEM,7,1,77,0
26126,0.92,Male,Has relevent experience,Graduate,Humanities,13,1,326,0
15012,0.84,Male,Has relevent experience,Graduate,STEM,9,1,34,0
12931,0.91,Male,Has relevent experience,Graduate,STEM,5,4,52,0
29945,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,4,1,19,0
2485,0.897,Male,No relevent experience,Masters,STEM,>20,>4,4,0
17967,0.92,Male,Has relevent experience,Graduate,STEM,4,1,58,0
12217,0.91,Male,Has relevent experience,Graduate,STEM,10,4,206,0
19215,0.92,Male,No relevent experience,Graduate,Humanities,10,1,57,0
19378,0.92,Male,Has relevent experience,Graduate,STEM,12,1,34,0
18907,0.92,Male,Has relevent experience,Graduate,Business Degree,1,1,28,0
23572,0.866,Male,Has relevent experience,Phd,STEM,>20,never,154,0
6448,0.903,Male,Has relevent experience,Graduate,STEM,>20,>4,6,0
30878,0.691,Male,No relevent experience,Graduate,STEM,10,1,32,0
3708,0.92,Male,Has relevent experience,Graduate,STEM,14,>4,290,0
25403,0.92,Male,Has relevent experience,Graduate,Humanities,2,1,168,0
31798,0.91,Male,Has relevent experience,Graduate,STEM,14,1,8,0
4302,0.92,Male,Has relevent experience,Graduate,STEM,6,1,21,0
4980,0.9259999999999999,Male,Has relevent experience,Masters,STEM,9,2,123,0
7951,0.804,Male,Has relevent experience,Graduate,No Major,10,4,292,0
15106,0.55,Male,No relevent experience,Graduate,STEM,1,1,7,0
8852,0.742,Male,Has relevent experience,Graduate,Business Degree,4,1,188,0
1794,0.92,Male,Has relevent experience,Graduate,STEM,12,2,42,0
17781,0.92,Male,Has relevent experience,Graduate,STEM,17,1,39,0
28433,0.855,Male,Has relevent experience,Graduate,Business Degree,12,1,96,0
27490,0.884,Male,Has relevent experience,Graduate,STEM,>20,>4,70,0
31489,0.91,Male,Has relevent experience,Masters,STEM,16,never,4,0
21585,0.624,Male,Has relevent experience,Graduate,Other,3,3,51,0
26674,0.92,Male,Has relevent experience,Graduate,STEM,18,2,6,0
24222,0.91,Male,No relevent experience,Phd,STEM,9,>4,90,0
15241,0.866,Male,Has relevent experience,Graduate,Other,9,2,4,0
14204,0.92,Male,Has relevent experience,Graduate,STEM,4,1,145,0
18130,0.855,Female,No relevent experience,Masters,Humanities,3,2,9,0
28603,0.92,Male,Has relevent experience,Graduate,STEM,10,4,26,0
18892,0.92,Male,Has relevent experience,Masters,STEM,15,2,166,0
3498,0.8270000000000001,Male,Has relevent experience,Graduate,STEM,>20,>4,72,0
29201,0.92,Male,Has relevent experience,Graduate,STEM,7,>4,31,0
33126,0.92,Male,Has relevent experience,Graduate,STEM,>20,>4,25,0
24127,0.9259999999999999,Male,Has relevent experience,Masters,STEM,>20,>4,8,0
23157,0.92,Male,No relevent experience,Graduate,STEM,4,1,32,0
2181,0.855,Male,Has relevent experience,Masters,STEM,10,1,162,0
16466,0.804,Male,Has relevent experience,Masters,STEM,13,1,12,0
17268,0.802,Male,Has relevent experience,Graduate,STEM,4,1,31,0
31935,0.9129999999999999,Male,Has relevent experience,Masters,STEM,7,1,5,0
3223,0.527,Male,Has relevent experience,Graduate,STEM,>20,never,94,0
28211,0.92,Male,Has relevent experience,Graduate,Humanities,10,3,39,0
21176,0.7759999999999999,Male,Has relevent experience,Graduate,STEM,16,2,103,0
32958,0.92,Female,Has relevent experience,Graduate,STEM,20,1,7,0
